NOC,ISO3,Year,population,gdp_per_capita,income_group,host_country,athletes_sent,sports_participated,events_participated,female_athlete_percentage,prev_total_medals,prev_medals_per_athlete,Gold,Silver,Bronze,total_medals,medals_per_athlete
AFG,AFG,1936,,,,0,15,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,AFG,1948,,,,0,25,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,AFG,1956,,,,0,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,AFG,1960,9035043.0,,,0,12,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,AFG,1964,9814318.0,,,0,8,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,AFG,1968,10756922.0,,,0,5,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,AFG,1972,11853696.0,,,0,8,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,AFG,1980,13169311.0,,,0,11,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,AFG,1988,11523298.0,,,0,5,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,AFG,1996,17763266.0,,,0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,AFG,2004,23560654.0,221.76365387301306,,0,5,4,5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,AFG,2008,26482622.0,381.7332380284397,,0,4,2,4,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25
AFG,AFG,2012,30560034.0,651.4171344700458,,0,6,4,6,16.666666666666664,1.0,0.25,0.0,0.0,1.0,1.0,0.16666666666666666
AFG,AFG,2016,34700612.0,522.0822155838985,,0,3,2,3,33.33333333333333,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
AHO,AHO,1952,,,,0,11,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,AHO,1960,,,,0,5,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,AHO,1964,,,,0,4,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,AHO,1968,,,,0,5,2,4,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,AHO,1972,,,,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,AHO,1976,,,,0,4,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,AHO,1984,,,,0,8,3,10,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,AHO,1988,,,,0,3,3,4,33.33333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333
AHO,AHO,1992,,,,0,4,3,4,25.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
AHO,AHO,1996,,,,0,6,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,AHO,2000,,,,0,7,6,8,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,AHO,2004,,,,0,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,AHO,2008,,,,0,3,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,ALB,1972,2243126.0,,,0,5,2,3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,ALB,1992,3247039.0,200.852219772323,,0,7,4,8,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,ALB,1996,3168033.0,1009.9771105339804,,0,7,5,7,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,ALB,2000,3089027.0,1126.6833401071665,,0,4,3,5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,ALB,2004,3026939.0,2373.5812917005464,,0,7,4,7,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,ALB,2008,2947314.0,4370.53971639449,,0,11,6,12,36.36363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,ALB,2012,2860708.0,4306.5682325253065,,0,9,5,9,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,ALB,2016,2689469.0,4410.238538105314,,0,6,3,6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALG,ALG,1964,,,,0,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALG,ALG,1968,,,,0,3,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALG,ALG,1972,,,,0,5,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALG,ALG,1980,,,,0,54,9,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALG,ALG,1984,,,,0,33,4,17,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.06060606060606061
ALG,ALG,1988,,,,0,42,7,29,4.761904761904762,2.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0
ALG,ALG,1992,,,,0,35,7,27,5.714285714285714,0.0,0.0,1.0,0.0,1.0,2.0,0.05714285714285714
ALG,ALG,1996,,,,0,45,9,29,13.333333333333334,2.0,0.05714285714285714,2.0,0.0,1.0,3.0,0.06666666666666667
ALG,ALG,2000,,,,0,47,10,42,21.27659574468085,3.0,0.06666666666666667,1.0,1.0,3.0,5.0,0.10638297872340426
ALG,ALG,2004,,,,0,61,10,57,24.59016393442623,5.0,0.10638297872340426,0.0,0.0,0.0,0.0,0.0
ALG,ALG,2008,,,,0,56,12,44,39.285714285714285,0.0,0.0,0.0,1.0,1.0,2.0,0.03571428571428571
ALG,ALG,2012,,,,0,38,12,29,44.73684210526316,2.0,0.03571428571428571,1.0,0.0,0.0,1.0,0.02631578947368421
ALG,ALG,2016,,,,0,64,13,48,15.625,1.0,0.02631578947368421,0.0,2.0,0.0,2.0,0.03125
AND,AND,1976,29436.0,7721.288586467972,,0,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,AND,1980,35782.0,12474.925291990405,,0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,AND,1984,42273.0,7808.130027135486,,0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,AND,1988,49416.0,14599.035517879833,,0,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,AND,1992,60200.0,20099.535220854283,,0,8,5,5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,AND,1996,63984.0,19130.159715131176,,0,8,5,7,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,AND,2000,65685.0,21810.248743141387,,0,5,3,5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,AND,2004,74325.0,39021.12781018785,,0,6,4,6,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,AND,2008,83495.0,49132.515707808016,,0,5,4,5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,AND,2012,76834.0,41500.54357916865,,0,6,4,6,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,AND,2016,72181.0,40129.81920076981,,0,4,4,4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANG,ANG,1980,,,,0,11,3,14,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANG,ANG,1988,,,,0,24,4,27,20.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANG,ANG,1992,,,,0,28,6,21,10.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANG,ANG,1996,,,,0,28,5,8,53.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANG,ANG,2000,,,,0,30,5,7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANG,ANG,2004,,,,0,30,5,5,53.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANG,ANG,2008,,,,0,32,6,8,46.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANG,ANG,2012,,,,0,33,6,10,87.87878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANG,ANG,2016,,,,0,26,7,10,69.23076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT,ANT,1976,,,,0,10,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT,ANT,1984,,,,0,14,3,17,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT,ANT,1988,,,,0,15,4,19,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT,ANT,1992,,,,0,13,3,15,30.76923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT,ANT,1996,,,,0,13,4,9,38.46153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT,ANT,2000,,,,0,3,2,4,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT,ANT,2004,,,,0,5,2,5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT,ANT,2008,,,,0,5,2,5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT,ANT,2012,,,,0,4,2,4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT,ANT,2016,,,,0,8,2,5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANZ,ANZ,1908,,,,0,30,6,20,0.0,0.0,0.0,1.0,2.0,2.0,5.0,0.16666666666666666
ANZ,ANZ,1912,,,,0,25,4,17,8.0,5.0,0.16666666666666666,2.0,2.0,3.0,7.0,0.28
ARG,ARG,1900,,,,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,ARG,1908,,,,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,ARG,1920,,,,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,ARG,1924,,,,0,77,11,39,0.0,0.0,0.0,1.0,3.0,2.0,6.0,0.07792207792207792
ARG,ARG,1928,,,,0,81,12,40,0.0,6.0,0.07792207792207792,3.0,3.0,1.0,7.0,0.08641975308641975
ARG,ARG,1932,,,,0,33,7,30,0.0,7.0,0.08641975308641975,3.0,1.0,0.0,4.0,0.12121212121212122
ARG,ARG,1936,,,,0,51,8,31,1.9607843137254901,4.0,0.12121212121212122,2.0,2.0,3.0,7.0,0.13725490196078433
ARG,ARG,1948,,,,0,199,16,101,5.527638190954774,7.0,0.13725490196078433,3.0,3.0,1.0,7.0,0.035175879396984924
ARG,ARG,1952,,,,0,123,15,77,6.504065040650407,7.0,0.035175879396984924,1.0,2.0,2.0,5.0,0.04065040650406504
